ProjID,Retail Store Number,Selling Location Type,Temperature,Movement period,Division,Store State,Account Format,Width,Traffic flow,Number of Segments,Number of Fixtures,Chain POG Field 7,Chain POG Field 8,Chain POG Field 9,Chain POG Field 10,StoreID,Planogram Number,Chain POG Field 1,Chain POG Field 2,Chain POG Field 3,# of Cooler Doors,Number of Stores,Chain POG Field 5,Chain POG Field 6,PlanoID,Wholesaler
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1870 (FITZ),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ),Publix #1870 (FITZ)|1|1870-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ)|1|1870-CRAFT BEER,61025-FITZ
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1870 (FITZ),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ),Publix #1870 (FITZ)|2|1870-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ)|2|1870-FLAVORED ADULT BEVERAGES,61025-FITZ
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1870 (FITZ),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ),Publix #1870 (FITZ)|3|1870-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1870 (FITZ)|3|1870-IMPORT BEER,61025-FITZ
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0431 (BLK),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0431 (BLK),Publix #0431 (BLK)|1|431-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0431 (BLK)|1|431-CRAFT BEER,91094-BLK
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0455 (BLK),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0455 (BLK),Publix #0455 (BLK)|1|455-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0455 (BLK)|1|455-CRAFT BEER,91094-BLK
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0456 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0456 (SAV),Publix #0456 (SAV)|1|456-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0456 (SAV)|1|456-CRAFT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0521 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0521 (SAV),Publix #0521 (SAV)|2|521-FLAVORED ADULT BEVERAGES,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0521 (SAV)|2|521-FLAVORED ADULT BEVERAGES,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #0522 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0522 (SAV),Publix #0522 (SAV)|1|522-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #0522 (SAV)|1|522-CRAFT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1256 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,6,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1256 (SAV),Publix #1256 (SAV)|1|1256-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1256 (SAV)|1|1256-CRAFT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1256 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1256 (SAV),Publix #1256 (SAV)|3|1256-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1256 (SAV)|3|1256-IMPORT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1489 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,5,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1489 (SAV),Publix #1489 (SAV)|1|1489-CRAFT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1489 (SAV)|1|1489-CRAFT BEER,21075-SAV
Shelf IQ PowerBI 2025 - Chain.csv,Publix #1489 (SAV),OPEN AIR,COLD,7,Publix,GA,Supermarket,144,N/A,1,4,,,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1489 (SAV),Publix #1489 (SAV)|3|1489-IMPORT BEER,,,,,1,,,Shelf IQ PowerBI 2025 - Chain.csv|Publix #1489 (SAV)|3|1489-IMPORT BEER,21075-SAV
